age_group,date,onsets,reported
0-14,2020-02-19,0.0,0.0
0-14,2020-02-22,0.0,0.0
0-14,2020-02-23,0.0,0.0
0-14,2020-02-25,0.0,0.0
0-14,2020-02-26,0.0,0.0
0-14,2020-02-27,0.0,0.0
0-14,2020-02-28,0.0,0.0
0-14,2020-02-29,0.0,0.0
0-14,2020-03-01,0.0,0.0
0-14,2020-03-02,0.0,0.0
0-14,2020-03-03,0.0,0.0
0-14,2020-03-04,0.0,0.0
0-14,2020-03-05,0.0,0.0
0-14,2020-03-06,0.0,0.0
0-14,2020-03-07,0.0,0.0
0-14,2020-03-08,0.0,0.0
0-14,2020-03-09,1.0,0.0
0-14,2020-03-10,0.0,0.0
0-14,2020-03-11,0.0,0.0
0-14,2020-03-12,1.0,0.0
0-14,2020-03-13,2.0,1.0
0-14,2020-03-14,1.0,2.0
0-14,2020-03-15,1.0,0.0
0-14,2020-03-16,1.0,2.0
0-14,2020-03-17,5.0,0.0
0-14,2020-03-18,2.0,1.0
0-14,2020-03-19,0.0,6.0
0-14,2020-03-20,1.0,0.0
0-14,2020-03-21,0.0,0.0
0-14,2020-03-22,2.0,0.0
0-14,2020-03-23,3.0,0.0
0-14,2020-03-24,5.0,1.0
0-14,2020-03-25,4.0,4.0
0-14,2020-03-26,1.0,1.0
0-14,2020-03-27,5.0,5.0
0-14,2020-03-28,4.0,0.0
0-14,2020-03-29,2.0,2.0
0-14,2020-03-30,3.0,9.0
0-14,2020-03-31,0.0,0.0
0-14,2020-04-01,3.0,3.0
0-14,2020-04-02,3.0,2.0
0-14,2020-04-03,4.0,1.0
0-14,2020-04-04,2.0,2.0
0-14,2020-04-05,5.0,3.0
0-14,2020-04-06,8.0,7.0
0-14,2020-04-07,1.0,9.0
0-14,2020-04-08,4.0,1.0
0-14,2020-04-09,6.0,6.0
0-14,2020-04-10,12.0,3.0
0-14,2020-04-11,13.0,3.0
0-14,2020-04-12,6.0,6.0
0-14,2020-04-13,13.0,5.0
0-14,2020-04-14,12.0,14.0
0-14,2020-04-15,13.0,12.0
0-14,2020-04-16,11.0,9.0
0-14,2020-04-17,6.0,10.0
0-14,2020-04-18,13.0,11.0
0-14,2020-04-19,10.0,5.0
0-14,2020-04-20,24.0,17.0
0-14,2020-04-21,14.0,14.0
0-14,2020-04-22,15.0,12.0
0-14,2020-04-23,17.0,24.0
0-14,2020-04-24,19.0,17.0
0-14,2020-04-25,23.0,16.0
0-14,2020-04-26,21.0,20.0
0-14,2020-04-27,35.0,29.0
0-14,2020-04-28,19.0,17.0
0-14,2020-04-29,18.0,18.0
0-14,2020-04-30,21.0,22.0
0-14,2020-05-01,37.0,21.0
0-14,2020-05-02,25.0,18.0
0-14,2020-05-03,17.0,12.0
0-14,2020-05-04,31.0,32.0
0-14,2020-05-05,36.0,21.0
0-14,2020-05-06,27.0,41.0
0-14,2020-05-07,27.0,43.0
0-14,2020-05-08,35.0,31.0
0-14,2020-05-09,34.0,22.0
0-14,2020-05-10,44.0,18.0
