age_group,date,state,onsets,reported
0-14,2020-02-19,19,0.0,0.0
0-14,2020-02-22,19,0.0,0.0
0-14,2020-02-23,19,0.0,0.0
0-14,2020-02-25,19,0.0,0.0
0-14,2020-02-26,19,0.0,0.0
0-14,2020-02-27,19,0.0,0.0
0-14,2020-02-28,19,0.0,0.0
0-14,2020-02-29,19,0.0,0.0
0-14,2020-03-01,19,0.0,0.0
0-14,2020-03-02,19,0.0,0.0
0-14,2020-03-03,19,0.0,0.0
0-14,2020-03-04,19,0.0,0.0
0-14,2020-03-05,19,0.0,0.0
0-14,2020-03-06,19,0.0,0.0
0-14,2020-03-07,19,0.0,0.0
0-14,2020-03-08,19,0.0,0.0
0-14,2020-03-09,19,0.0,0.0
0-14,2020-03-10,19,0.0,0.0
0-14,2020-03-11,19,0.0,0.0
0-14,2020-03-12,19,0.0,0.0
0-14,2020-03-13,19,0.0,0.0
0-14,2020-03-14,19,0.0,0.0
0-14,2020-03-15,19,0.0,0.0
0-14,2020-03-16,19,0.0,0.0
0-14,2020-03-17,19,0.0,0.0
0-14,2020-03-18,19,0.0,0.0
0-14,2020-03-19,19,0.0,0.0
0-14,2020-03-20,19,0.0,0.0
0-14,2020-03-21,19,0.0,0.0
0-14,2020-03-22,19,0.0,0.0
0-14,2020-03-23,19,0.0,0.0
0-14,2020-03-24,19,0.0,0.0
0-14,2020-03-25,19,0.0,0.0
0-14,2020-03-26,19,0.0,0.0
0-14,2020-03-27,19,0.0,0.0
0-14,2020-03-28,19,0.0,0.0
0-14,2020-03-29,19,0.0,0.0
0-14,2020-03-30,19,0.0,0.0
0-14,2020-03-31,19,0.0,0.0
0-14,2020-04-01,19,0.0,0.0
0-14,2020-04-02,19,0.0,0.0
0-14,2020-04-03,19,0.0,0.0
0-14,2020-04-04,19,0.0,0.0
0-14,2020-04-05,19,0.0,0.0
0-14,2020-04-06,19,0.0,0.0
0-14,2020-04-07,19,0.0,0.0
0-14,2020-04-08,19,0.0,0.0
0-14,2020-04-09,19,0.0,0.0
0-14,2020-04-10,19,0.0,0.0
0-14,2020-04-11,19,0.0,0.0
0-14,2020-04-12,19,0.0,0.0
0-14,2020-04-13,19,0.0,0.0
0-14,2020-04-14,19,0.0,0.0
0-14,2020-04-15,19,0.0,0.0
0-14,2020-04-16,19,0.0,0.0
0-14,2020-04-17,19,0.0,0.0
0-14,2020-04-18,19,0.0,0.0
0-14,2020-04-19,19,0.0,0.0
0-14,2020-04-20,19,0.0,0.0
0-14,2020-04-21,19,0.0,0.0
0-14,2020-04-22,19,1.0,1.0
0-14,2020-04-23,19,1.0,0.0
0-14,2020-04-24,19,0.0,0.0
0-14,2020-04-25,19,2.0,0.0
0-14,2020-04-26,19,1.0,0.0
0-14,2020-04-27,19,0.0,2.0
0-14,2020-04-28,19,0.0,0.0
0-14,2020-04-29,19,1.0,0.0
0-14,2020-04-30,19,0.0,1.0
0-14,2020-05-01,19,4.0,0.0
0-14,2020-05-02,19,0.0,2.0
0-14,2020-05-03,19,0.0,1.0
0-14,2020-05-04,19,3.0,4.0
0-14,2020-05-05,19,1.0,0.0
0-14,2020-05-06,19,0.0,0.0
0-14,2020-05-07,19,0.0,0.0
0-14,2020-05-08,19,0.0,0.0
0-14,2020-05-09,19,1.0,0.0
0-14,2020-05-10,19,1.0,1.0
0-14,2020-05-11,19,1.0,3.0
0-14,2020-05-12,19,5.0,3.0
