age_group,date,state,onsets,reported
0-14,2020-02-19,9,0.0,0.0
0-14,2020-02-22,9,0.0,0.0
0-14,2020-02-23,9,0.0,0.0
0-14,2020-02-25,9,0.0,0.0
0-14,2020-02-26,9,0.0,0.0
0-14,2020-02-27,9,0.0,0.0
0-14,2020-02-28,9,0.0,0.0
0-14,2020-02-29,9,0.0,0.0
0-14,2020-03-01,9,0.0,0.0
0-14,2020-03-02,9,0.0,0.0
0-14,2020-03-03,9,0.0,0.0
0-14,2020-03-04,9,0.0,0.0
0-14,2020-03-05,9,0.0,0.0
0-14,2020-03-06,9,0.0,0.0
0-14,2020-03-07,9,0.0,0.0
0-14,2020-03-08,9,0.0,0.0
0-14,2020-03-09,9,1.0,0.0
0-14,2020-03-10,9,0.0,0.0
0-14,2020-03-11,9,0.0,0.0
0-14,2020-03-12,9,1.0,0.0
0-14,2020-03-13,9,2.0,1.0
0-14,2020-03-14,9,1.0,2.0
0-14,2020-03-15,9,0.0,0.0
0-14,2020-03-16,9,1.0,2.0
0-14,2020-03-17,9,3.0,0.0
0-14,2020-03-18,9,1.0,1.0
0-14,2020-03-19,9,0.0,4.0
0-14,2020-03-20,9,0.0,0.0
0-14,2020-03-21,9,0.0,0.0
0-14,2020-03-22,9,0.0,0.0
0-14,2020-03-23,9,1.0,0.0
0-14,2020-03-24,9,2.0,0.0
0-14,2020-03-25,9,1.0,0.0
0-14,2020-03-26,9,0.0,0.0
0-14,2020-03-27,9,1.0,1.0
0-14,2020-03-28,9,1.0,0.0
0-14,2020-03-29,9,1.0,0.0
0-14,2020-03-30,9,0.0,2.0
0-14,2020-03-31,9,0.0,0.0
0-14,2020-04-01,9,1.0,0.0
0-14,2020-04-02,9,2.0,2.0
0-14,2020-04-03,9,3.0,0.0
0-14,2020-04-04,9,0.0,0.0
0-14,2020-04-05,9,2.0,0.0
0-14,2020-04-06,9,3.0,1.0
0-14,2020-04-07,9,1.0,8.0
0-14,2020-04-08,9,1.0,0.0
0-14,2020-04-09,9,2.0,4.0
0-14,2020-04-10,9,8.0,2.0
0-14,2020-04-11,9,5.0,2.0
0-14,2020-04-12,9,2.0,2.0
0-14,2020-04-13,9,4.0,3.0
0-14,2020-04-14,9,4.0,9.0
0-14,2020-04-15,9,4.0,1.0
0-14,2020-04-16,9,0.0,2.0
0-14,2020-04-17,9,2.0,1.0
0-14,2020-04-18,9,10.0,6.0
0-14,2020-04-19,9,4.0,2.0
0-14,2020-04-20,9,11.0,6.0
0-14,2020-04-21,9,4.0,8.0
0-14,2020-04-22,9,2.0,5.0
0-14,2020-04-23,9,3.0,5.0
0-14,2020-04-24,9,10.0,9.0
0-14,2020-04-25,9,8.0,1.0
0-14,2020-04-26,9,6.0,6.0
0-14,2020-04-27,9,17.0,12.0
0-14,2020-04-28,9,9.0,8.0
0-14,2020-04-29,9,5.0,5.0
0-14,2020-04-30,9,8.0,12.0
0-14,2020-05-01,9,18.0,8.0
0-14,2020-05-02,9,9.0,9.0
0-14,2020-05-03,9,8.0,6.0
0-14,2020-05-04,9,10.0,8.0
0-14,2020-05-05,9,15.0,8.0
0-14,2020-05-06,9,12.0,14.0
0-14,2020-05-07,9,17.0,21.0
0-14,2020-05-08,9,13.0,17.0
0-14,2020-05-09,9,16.0,12.0
0-14,2020-05-10,9,23.0,9.0
0-14,2020-05-11,9,16.0,17.0
0-14,2020-05-12,9,16.0,15.0
0-14,2020-05-13,9,16.0,20.0
0-14,2020-05-14,9,14.0,10.0
0-14,2020-05-15,9,28.0,22.0
0-14,2020-05-16,9,22.0,23.0
0-14,2020-05-17,9,21.0,11.0
0-14,2020-05-18,9,18.0,21.0
0-14,2020-05-19,9,16.0,21.0
0-14,2020-05-20,9,28.0,25.0
0-14,2020-05-21,9,16.0,23.0
0-14,2020-05-22,9,22.0,16.0
0-14,2020-05-23,9,16.0,11.0
0-14,2020-05-24,9,14.0,8.0
0-14,2020-05-25,9,24.0,23.0
0-14,2020-05-26,9,33.0,28.0
0-14,2020-05-27,9,27.0,33.0
0-14,2020-05-28,9,26.0,22.0
0-14,2020-05-29,9,21.0,27.0
0-14,2020-05-30,9,22.0,9.0
0-14,2020-05-31,9,10.0,15.0
0-14,2020-06-01,9,34.0,32.0
0-14,2020-06-02,9,25.0,27.0
0-14,2020-06-03,9,24.0,23.0
0-14,2020-06-04,9,9.0,25.0
0-14,2020-06-05,9,19.0,19.0
0-14,2020-06-06,9,21.0,15.0
0-14,2020-06-07,9,25.0,13.0
0-14,2020-06-08,9,21.0,25.0
0-14,2020-06-09,9,22.0,24.0
0-14,2020-06-10,9,29.0,30.0
